manual_lang,title_lang,descrip_lang,search_url,page,url,title,description,image,domain,domain_end,dataset,year,title_snippet,20_snippet,50_snippet
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,https://imagej.nih.gov/ij/images/?C=S;O=A,ImageJ,"512 × 512 — watershed-animation.zip, 2010-07-29 14:18. [IMG], abe.tif, 2010-07-29 14:18. [IMG], lena.jpg, 2010-07-29 14:18. [ ], 4D-Stack(256x256x20x..> 2010-07-29 14:18.",lenna.png,imagej.nih.gov,gov,rimage,2010,," 07-29 14:18. [img], lena.jpg, 2010-07-29 14:"," 9 14:18. [img], abe.tif, 2010-07-29 14:18. [img], lena.jpg, 2010-07-29 14:18. [ ], 4d-stack(256x256x20x."
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,https://www.inf.ed.ac.uk/teaching/courses/av/MATLAB/COLOUR/images/,Index of /teaching/courses/av/MATLAB/COLOUR/images,512 × 512 — apple.jpg 2006-03-02 11:53 62K banana.jpg 2006-03-02 11:53 109K leaf.jpg ... leaf2.jpg 2006-03-02 11:53 118K leaves.jpg 2006-03-02 11:53 114K lena.jpg ...,lenna.png,www.inf.ed.ac.uk,uk,rimage,2006,, 06-03-02 11:53 114k lena.jpg ..., 03-02 11:53 118k leaves.jpg 2006-03-02 11:53 114k lena.jpg ...
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,https://www.chegg.com/homework-help/questions-and-answers/1-obtain-accompanying-images-lenabin-peppersbin--image-256-256-pixels-pixel-8-bits-read-di-q52137171,"Solved: 1. Obtain Accompanying Images ""lena.bin"" And ""pepp ...","256 × 256 — (a) Type help imread and help imwrite at the Matlab prompt to read the online help for these commands (b) Obtain accompanying image ""lenagray.jpg"". It is the ...",lenna.png,www.chegg.com,com,rimage,,""" lena .bin"""," accompanying image ""lenagray.jpg"". it is the"," for these commands (b) obtain accompanying image ""lenagray.jpg"". it is the ..."
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,http://www.inf.ed.ac.uk/teaching/courses/av/MATLAB/COLOUR/images/?C=M;O=A,Index of /teaching/courses/av/MATLAB/COLOUR/images,512 × 512 — apple.jpg 2006-03-02 11:53 62K banana.jpg 2006-03-02 11:53 109K leaf2.jpg 2006-03-02 11:53 118K leaves.jpg 2006-03-02 11:53 114K lena.jpg 2006-03-02 ...,lenna.png,www.inf.ed.ac.uk,uk,rimage,2006,, 06-03-02 11:53 114k lena.jpg 2006-03-02 ..., 03-02 11:53 118k leaves.jpg 2006-03-02 11:53 114k lena.jpg 2006-03-02 ...
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,http://www.inf.ed.ac.uk/teaching/courses/av/MATLAB/COLOUR/images/?C=S;O=A,Index of /teaching/courses/av/MATLAB/COLOUR/images,512 × 512 — apple.jpg 2006-03-02 11:53 62K leaf.jpg 2006-03-02 11:58 66K lena.jpg 2006-03-02 11:53 68K monster.jpg 2006-03-02 11:53 76K banana.jpg 2006-03-02 ...,lenna.png,www.inf.ed.ac.uk,uk,rimage,2006,, 006-03-02 11:58 66k lena.jpg 2006-03-02 11:5, 006-03-02 11:53 62k leaf.jpg 2006-03-02 11:58 66k lena.jpg 2006-03-02 11:53 68k monster.jpg 2006-03-02 1
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,http://www.inf.ed.ac.uk/teaching/courses/av/MATLAB/COLOUR/images/?C=S;O=D,Index of /teaching/courses/av/MATLAB/COLOUR/images,512 × 512 — monster3.jpg 2006-03-02 11:53 323K monster1.jpg 2006-03-02 11:53 323K ... 76K lena.jpg 2006-03-02 11:53 68K leaf.jpg 2006-03-02 11:58 66K apple.jpg ...,lenna.png,www.inf.ed.ac.uk,uk,rimage,2006,,  11:53 323k ... 76k lena.jpg 2006-03-02 11:5, 3 323k monster1.jpg 2006-03-02 11:53 323k ... 76k lena.jpg 2006-03-02 11:53 68k leaf.jpg 2006-03-02 11:5
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,https://people.sc.fsu.edu/~jburkardt/datasets/imagej/imagej.html,IMAGEJ - Data for the IMAGEJ Program,"512 × 512 · Dec 14, 2011 — jpg · lena.jpg · m51.tif · mri-stack.zip · particles.gif · t1-head.zip · t1-rendering.zip ...",lenna.png,people.sc.fsu.edu,edu,rimage,2011,," ec 14, 2011 — jpg · lena.jpg · m51.tif · mri"," 512 × 512 · dec 14, 2011 — jpg · lena.jpg · m51.tif · mri-stack.zip · particles.gif · t"
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,2,https://www.bloomberg.com/news/features/2018-02-01/women-once-ruled-computers-when-did-the-valley-become-brotopia,Women Once Ruled Computers. When Did the Valley Become ...,"1000 × 1000 · Feb 1, 2018 — Lena Söderberg started out as just another Playboy centerfold. The 21-year-old Swedish model left her native Stockholm for Chicago because, ...",lenna.png,www.bloomberg.com,com,rimage,2018,," 000 · feb 1, 2018 — lena söderberg started o"," 1000 × 1000 · feb 1, 2018 — lena söderberg started out as just another playboy cen"
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,2,https://blog.codinghorror.com/screenshots-jpeg-vs-gif/,Screenshots: JPEG vs. GIF (and PNG) - Coding Horror,"512 × 512 · Dec 10, 2005 — Not so much. Use JPG. ... 5% JPEG, 104 kb · Lena image, 10% JPEG compression ... 20% JPEG, 43 kb · Lena image, 30% JPEG compression",lenna.png,blog.codinghorror.com,com,rimage,2005,," . 5% jpeg, 104 kb · lena image, 10% jpeg com . 20% jpeg, 43 kb · lena image, 30% jpeg com"," 005 — not so much. use jpg. ... 5% jpeg, 104 kb · lena image, 10% jpeg compression ... 20% jpeg, 43 kb · image, 10% jpeg compression ... 20% jpeg, 43 kb · lena image, 30% jpeg compression"
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,2,https://github.com/BASH-Auto-Tools/bash-jpegmin,BASH-Auto-Tools/bash-jpegmin: bash script using ... - GitHub,512 × 512 — jpegmin-zt-test: bash jpegmin-zt.sh lena.png lena.png lena-png. result: lena-jpegmin.jpg. 88 -> .342574. Before:462KB After:58KB Saved:404KB(87%). index:.,lenna.png,github.com,com,rimage,,,  bash jpegmin-zt.sh lena.png  .png lena.png  .png lena-png. result:  -png. result: lena-jpegmin.jpg. 88 -> , 512 × 512 — jpegmin-zt-test: bash jpegmin-zt.sh lena.png  .png lena.png  .png lena-png. result:  -png. result: lena-jpegmin.jpg. 88 -> .342574. before:462kb after:58
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,2,https://www.math.u-bordeaux.fr/~ayger/CalculEtLogicielsEllipses2015/IMAGES-ELLIPSES2015/,Index of /~ayger/CalculEtLogicielsEllipses2015/IMAGES ...,"512 × 512 — alsace.jpg, 01-May-2014 11:12, 104K. [IMG], bordeaux.jpg, 01-May-2014 11:12, 78K. [IMG], einstein.jpg, 01-May-2014 11:13, 44K. [IMG], lena.jpg, 01-May-2014 ...",lenna.png,www.math.u-bordeaux.fr,fr,rimage,2014,,"  11:13, 44k. [img], lena.jpg, 01-may-2014 .."," mg], einstein.jpg, 01-may-2014 11:13, 44k. [img], lena.jpg, 01-may-2014 ..."
