manual_lang,title_lang,descrip_lang,search_url,page,url,title,description,image,domain,domain_end,dataset,year,title_snippet,20_snippet,50_snippet
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,0,https://en.wikipedia.org/wiki/Lenna,Lenna - Wikipedia,"Lenna or Lena is a standard test image widely used in the field of image processing since 1973. ... It is a picture of the Swedish model Lena Forsén, shot by ...",lenna.png,en.wikipedia.org,org,rimage,, lenna -," lenna or   or lena is a standard test  f the swedish model lena forsén, shot by ..."," lenna or   or lena is a standard test image widely used in the field ce 1973. ... it is a picture of the swedish model lena forsén, shot by ..."
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,0,https://www.wired.com/story/finding-lena-the-patron-saint-of-jpegs/,"Finding Lena Forsen, the Patron Saint of JPEGs | WIRED","Jan 31, 2019 — In 1973, a photo of a Swedish Playboy model named Lena (left) was used to engineer the digital image format that would become the JPEG.",lenna.png,www.wired.com,com,rimage,2019,"finding lena forsen,", playboy model named lena (left) was used to ," in 1973, a photo of a swedish playboy model named lena (left) was used to engineer the digital image for"
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,0,https://imagej.nih.gov/ij/images/,ImageJ,"512 × 512 — [IMG], AuPbSn40-2.jpg, 2010-07-29 14:18. [IMG], AuPbSn40.jpg, 2011-09-17 22:49 ... [IMG], lena-std.tif, 2010-07-29 14:18. [IMG], lena.jpg, 2010-07-29 14:18.",lenna.png,imagej.nih.gov,gov,rimage,2010,," 17 22:49 ... [img], lena-std.tif, 2010-07-29 07-29 14:18. [img], lena.jpg, 2010-07-29 14:","  [img], aupbsn40.jpg, 2011-09-17 22:49 ... [img], lena-std.tif, 2010-07-29 14:18. [img],  -std.tif, 2010-07-29 14:18. [img], lena.jpg, 2010-07-29 14:18."
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,0,https://www.cosy.sbg.ac.at/~pmeerw/Watermarking/lena.html,original image: Lena,"512 × 512 — original image: Lena. 512 x 512 8bit grayscale. 512 x 512 24bit RGB color. Lenna 97: A Complete Story of Lenna, The Lenna Story and the high-resolution full ...",lenna.png,www.cosy.sbg.ac.at,at,rimage,,image: lena ," 2 — original image: lena. 512 x 512 8bit gra 12 24bit rgb color. lenna 97: a complete stor a complete story of lenna, the  , the lenna story and the high-"," 512 × 512 — original image: lena. 512 x 512 8bit grayscale. 512 x 512 24bit rgb co  x 512 8bit grayscale. 512 x 512 24bit rgb color. lenna 97: a complete story of   97: a complete story of lenna, the  , the lenna story and the high-resolution full ..."
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,0,http://graphics.stanford.edu/~jowens/223b/examples.html,Color Edge Detection Examples,"512 × 512 — In addition to the original pnm images, jpg's and gif's were created for ease of viewing. ... Lena was a tiff procured from an image database on the web. Fruit and ...",lenna.png,graphics.stanford.edu,edu,rimage,,, ase of viewing. ... lena was a tiff procured, s and gif's were created for ease of viewing. ... lena was a tiff procured from an image database on the
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,0,https://www.ee.columbia.edu/~ywang/MSS/HW1/,Index of /~ywang/MSS/HW1,"512 × 512 — lena.bmp, 2005-03-16 14:00, 257K. [IMG], lena.jpg, 2005-02-09 12:24, 225K. [IMG], lena.ppm, 2005-03-16 13:48, 0. [IMG], lena_bw.JPG, 2005-02-10 17:48, 10K.",lenna.png,www.ee.columbia.edu,edu,rimage,2005,," 512 × 512 — lena.bmp, 2005-03-16 14: 14:00, 257k. [img], lena.jpg, 2005-02-09 12: 12:24, 225k. [img], lena.ppm, 2005-03-16 13: 16 13:48, 0. [img], lena_bw.jpg, 2005-02-10 "," 512 × 512 — lena.bmp, 2005-03-16 14:00, 257k. [img],  .bmp, 2005-03-16 14:00, 257k. [img], lena.jpg, 2005-02-09 12:24, 225k. [img],  .jpg, 2005-02-09 12:24, 225k. [img], lena.ppm, 2005-03-16 13:48, 0. [img],  .ppm, 2005-03-16 13:48, 0. [img], lena_bw.jpg, 2005-02-10 17:48, 10k."
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,0,https://imagej.net/images/,Index of /images - ImageJ,"512 × 512 — [IMG], leaf.jpg, 2016-03-24 22:21, 36K. [IMG], lena-std.tif, 2016-03-24 22:18, 768K. [IMG], lena.jpg, 2016-03-24 22:20, 68K. [IMG], line.gif, 2016-03-24 22:22, 1.1K.",lenna.png,imagej.net,net,rimage,2016,,"  22:21, 36k. [img], lena-std.tif, 2016-03-24 22:18, 768k. [img], lena.jpg, 2016-03-24 22:","  — [img], leaf.jpg, 2016-03-24 22:21, 36k. [img], lena-std.tif, 2016-03-24 22:18, 768k. [img],  -std.tif, 2016-03-24 22:18, 768k. [img], lena.jpg, 2016-03-24 22:20, 68k. [img], line.gif, 2016"
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,http://wsr.imagej.net/images/?C=N;O=D,Index of /images - Description - ImageJ,"512 × 512 — petri_dish2.jpg, 2015-11-10 11:27, 103K. [DIR], pet-series ... lena.jpg, 2016-03-24 22:20, 68K. [IMG], lena-std.tif, 2016-03-24 22:18, 768K. [IMG], leaf.jpg ...",lenna.png,wsr.imagej.net,net,rimage,2015,," ir], pet-series ... lena.jpg, 2016-03-24 22:  22:20, 68k. [img], lena-std.tif, 2016-03-24"," pg, 2015-11-10 11:27, 103k. [dir], pet-series ... lena.jpg, 2016-03-24 22:20, 68k. [img],  .jpg, 2016-03-24 22:20, 68k. [img], lena-std.tif, 2016-03-24 22:18, 768k. [img], leaf.jpg "
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,http://wsr.imagej.net/images/?C=M;O=A,Index of /images - Description - ImageJ,"512 × 512 — petri_dish2.jpg, 2015-11-10 11:27, 103K. [IMG], mitosis. ... lena-std.tif, 2016-03-24 22:18, 768K. [ ], t1-rendering.zip ... lena.jpg, 2016-03-24 22:20, 68K. [IMG] ...",lenna.png,wsr.imagej.net,net,rimage,2015,," [img], mitosis. ... lena-std.tif, 2016-03-24 1-rendering.zip ... lena.jpg, 2016-03-24 22:"," .jpg, 2015-11-10 11:27, 103k. [img], mitosis. ... lena-std.tif, 2016-03-24 22:18, 768k. [ ], t1-renderin 2016-03-24 22:18, 768k. [ ], t1-rendering.zip ... lena.jpg, 2016-03-24 22:20, 68k. [img] ..."
english,en,en,http://www.google.com/search?tbs=sbi:AMhZZisqfFZCq96G55ZQ1VVcu6VGTjSt2DQjYkSn5QL-0jFys4SKqr0Zg0IN5vdnxtCzMLip8TqBibvXrNaEUOj-bud5EvV2-TTrTm2WUizMVlxWyS-Iq4zmtvWRVm4R7QtJDuedetFYSKMsP3cBe14fKsqTwEAWIbIgpJcGEppCa-tzUBbJ4ULWjhHXvrLVt1a3mj1a1SopWNlQVPE-fQp_1WhD7a72Pg7-STUFkt0Eo0CV1b6K2jopccFR523tc6wEYEMYEfxxolWyIvgab6MeqKUuYVHYhpxjvc9R9Z9nOoQaJQKz-ejvdokRyXa_14AWWmEMCiYNjy&filter=0,1,https://wsr.imagej.net/images/,Index of /images - Description - ImageJ,"512 × 512 — Cartwheel_Galaxy.jpg, 2016-03-24 22:19, 231K. [IMG], Cell_Colony.jpg ... lena-std.tif, 2016-03-24 22:18, 768K. [IMG], lena.jpg, 2016-03-24 22:20, 68K. [IMG] ...",lenna.png,wsr.imagej.net,net,rimage,2016,," cell_colony.jpg ... lena-std.tif, 2016-03-24 22:18, 768k. [img], lena.jpg, 2016-03-24 22:"," 016-03-24 22:19, 231k. [img], cell_colony.jpg ... lena-std.tif, 2016-03-24 22:18, 768k. [img],  -std.tif, 2016-03-24 22:18, 768k. [img], lena.jpg, 2016-03-24 22:20, 68k. [img] ..."
